"ACCOUNT NUMBER","END DATE/TIME","END LOCATION","FARE","OPERATOR","PASS","START DATE/TIME","START LOCATION","TRIP ID"
"100005374481","N/A","N/A","$0.00","BART","N/A","12/03/2025 21:14:59","Fruitvale","900003509535574"
"100005374481","12/03/2025 18:25:51","Fruitvale","$4.80","BART","N/A","12/03/2025 17:58:35","Civic Center","900001426228354"
"100005374481","N/A","N/A","$2.85","Muni","N/A","12/06/2025 19:19:32","Ortega St & 48th Ave (15828)","800003511677196"
"100005374481","N/A","N/A","$2.85","Muni","N/A","12/05/2025 19:59:14","Ortega St & 48th Ave (15828)","800003511146127"
"100005374481","N/A","N/A","$2.35","Muni","N/A","12/03/2025 21:48:21","Balboa Park","800003509541813"
"100005374481","N/A","N/A","$2.85","Muni","N/A","12/03/2025 17:42:20","Ortega St & 48th Ave (15828)","800003509326400"
"100005374481","N/A","N/A","$0.00","Muni","N/A","12/02/2025 19:27:33","Ortega St & 48th Ave (15828)","800003508593427"
"100005374481","N/A","N/A","$2.85","Muni","N/A","12/02/2025 18:02:50","Balboa Park","800003508485056"
"100005374481","N/A","N/A","$0.00","Muni","N/A","12/02/2025 17:14:00","Ortega St & 48th Ave (15828)","800003508454263"
"100005374481","N/A","N/A","$2.85","Muni","N/A","12/02/2025 15:43:53","Ortega St & 48th Ave (15828)","800003508341467"
"100005374481","N/A","N/A","$0.00","Muni","N/A","12/01/2025 17:21:43","Ortega St & 48th Ave (15828)","800003507656889"
"100005374481","N/A","N/A","$2.85","Muni","N/A","12/01/2025 16:46:29","Ortega St & 48th Ave (15828)","800003507557744"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","12/31/2025 16:04:19","Haight/Noriega","3134914"
"100005374481","N/A","N/A","$0.00","Muni","N/A","12/31/2025 11:49:08","Masonic","3117270"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","12/31/2025 10:02:00","Masonic","3111796"
"100005374481","N/A","N/A","$0.00","Muni","N/A","12/28/2025 13:58:02","Haight/Noriega","2910054"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","12/28/2025 13:42:02","Polk","2908793"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","12/28/2025 10:14:21","Ashbury/18th Street","2895327"
"100005374481","N/A","N/A","$0.00","Muni","N/A","12/27/2025 11:57:10","Masonic","2840508"
"100005374481","N/A","N/A","$0.00","Muni","N/A","12/27/2025 11:12:06","Taraval","2837266"
"100005374481","N/A","N/A","$0.00","Muni","N/A","12/27/2025 10:42:41","San Bruno","2835442"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","12/27/2025 10:32:34","Divisadero","2834930"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","12/26/2025 20:23:28","Masonic","2820235"
"100005374481","N/A","N/A","$0.00","Muni","N/A","12/20/2025 10:30:28","Haight/Parnassus","2508493"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","12/20/2025 09:06:15","Masonic","2505771"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","12/17/2025 20:31:42","Masonic","2349325"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","12/17/2025 18:21:22","Masonic","2340042"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","12/17/2025 09:04:10","Haight/Noriega","2300856"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","12/14/2025 21:23:41","Haight/Parnassus","2166840"
"100005374481","N/A","N/A","$0.00","Muni","N/A","12/13/2025 20:31:38","Civic Center","2125096"
"100005374481","12/13/2025 20:28:45","Civic Center","$4.80","BART","BART Value ","12/13/2025 19:57:09","Rockridge","2125000"
"100005374481","12/13/2025 13:30:21","Oakland Ferry Terminal","$7.40","WETA","Cash Value ","12/13/2025 13:30:21","Oakland Ferry Terminal","2110842"
"100005374481","12/13/2025 12:50:32","San Francisco Ferry Building","$9.30","WETA","Pre-tax Benefit Value Cash Val","12/13/2025 12:50:26","San Francisco Ferry Building","2094436"
"100005374481","N/A","N/A","$0.00","Muni","N/A","12/12/2025 22:19:37","Civic Center","2077702"
"100005374481","12/12/2025 22:19:19","Civic Center","$4.80","BART","BART Value ","12/12/2025 21:48:48","Fruitvale","2077675"
"100005374481","12/12/2025 18:15:04","Lake Merritt","$2.40","BART","BART Value ","12/12/2025 17:57:12","12th Street / Oakland City Cen","2066484"
"100005374481","12/12/2025 16:25:34","12th Street / Oakland City Cen","$4.25","BART","BART Value ","12/12/2025 16:09:37","Powell","2057897"
"100005374481","N/A","N/A","$2.85","Muni","Pre-tax Benefit Value ","12/12/2025 08:52:17","Haight/Noriega","2038332"
"100005374481","N/A","N/A","$2.85","Muni","Pre-tax Benefit Value ","12/11/2025 16:52:02","Fulton","2012732"
"100005374481","N/A","N/A","$2.85","Muni","Pre-tax Benefit Value ","12/11/2025 08:43:24","Haight/Noriega","1992374"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","01/29/2026 21:42:12","NONE","6407480"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","01/21/2026 17:22:23","NONE","6393850"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","01/29/2026 17:01:04","Haight/Noriega","6352668"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","01/29/2026 08:58:52","Haight/Noriega","6277688"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","01/28/2026 14:02:11","Haight/Noriega","6150085"
"100005374481","N/A","N/A","$0.00","Muni","N/A","01/27/2026 20:44:44","Haight/Noriega","6060343"
"100005374481","01/27/2026 20:29:23","Civic Center","$4.50","BART","BART Value ","01/27/2026 20:09:34","12th Street / Oakland City Cen","6059226"
"100005374481","01/27/2026 18:26:16","12th Street / Oakland City Cen","$4.50","BART","BART Value ","01/27/2026 18:05:41","Civic Center","6050637"
"100005374481","N/A","N/A","$0.00","Muni","N/A","01/27/2026 09:03:42","Haight/Noriega","5944936"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","01/27/2026 08:52:37","Haight/Noriega","5941371"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","01/25/2026 09:36:26","Haight/Noriega","5706942"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","01/24/2026 15:17:46","Haight/Noriega","5642183"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","01/24/2026 12:48:10","Divisadero","5625372"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","01/24/2026 08:39:47","Divisadero","5603789"
"100005374481","N/A","N/A","$0.00","Muni","N/A","01/23/2026 22:26:31","Haight/Noriega","5594606"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","01/23/2026 22:05:31","Bayshore","5593661"
"100005374481","N/A","N/A","$0.00","Muni","N/A","01/23/2026 18:17:18","Bayshore","5573564"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","01/23/2026 17:48:24","Haight/Noriega","5567728"
"100005374481","N/A","N/A","$0.00","Muni","N/A","01/23/2026 15:41:19","Masonic","5539027"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","01/23/2026 15:08:55","Masonic","5532002"
"100005374481","N/A","N/A","$0.00","Muni","N/A","01/22/2026 18:05:29","NONE","5531999"
"100005374481","N/A","N/A","$0.00","Muni","N/A","01/22/2026 18:27:27","Corbett","5440307"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","01/22/2026 16:33:43","Van Ness/Mission","5403266"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","01/22/2026 08:55:44","Haight/Noriega","5338435"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","01/21/2026 21:35:31","Haight/Parnassus","5298159"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","01/21/2026 08:55:16","Haight/Noriega","5183224"
"100005374481","N/A","N/A","$0.00","Muni","N/A","01/20/2026 09:52:30","Haight/Noriega","5042014"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","01/20/2026 08:32:34","Fulton","5023494"
"100005374481","N/A","N/A","$0.00","Muni","N/A","01/16/2026 21:52:19","Haight/Noriega","4732832"
"100005374481","01/16/2026 21:48:38","Civic Center","$5.10","BART","BART Value ","01/16/2026 21:17:52","Rockridge","4732582"
"100005374481","01/16/2026 18:29:34","Rockridge","$5.10","BART","BART Value ","01/16/2026 17:47:54","Civic Center","4714017"
"100005374481","N/A","N/A","$0.00","Muni","N/A","01/15/2026 22:21:37","Haight/Noriega","4612684"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","01/15/2026 20:55:19","Van Ness/Mission","4607273"
"100005374481","N/A","N/A","$0.00","Muni","N/A","01/15/2026 17:12:23","Geary Rapid","4565883"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","01/15/2026 15:57:12","Haight/Noriega","4548787"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","01/14/2026 17:46:46","NONE","4462092"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","01/14/2026 20:32:28","Haight/Noriega","4456425"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","01/14/2026 09:04:22","Haight/Noriega","4356010"
"100005374481","N/A","N/A","$0.00","Muni","N/A","01/08/2026 16:37:51","Haight/Noriega","3766455"
"100005374481","N/A","N/A","$0.00","Muni","N/A","01/08/2026 15:29:39","Bryant","3755743"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","01/08/2026 15:05:22","Van Ness/Mission","3752836"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","01/08/2026 08:54:40","Haight/Noriega","3716609"
"100005374481","N/A","N/A","$0.00","Muni","N/A","01/07/2026 12:19:31","Van Ness/Mission","3617097"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","01/07/2026 11:41:12","Van Ness/Mission","3614384"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","01/07/2026 08:55:18","Haight/Noriega","3596588"
"100005374481","N/A","N/A","$0.00","Muni","N/A","01/05/2026 14:49:33","Divisadero","3407613"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","01/05/2026 14:14:24","Masonic","3405271"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","01/04/2026 17:58:13","Divisadero","3353358"
"100005374481","N/A","N/A","$0.00","Muni","N/A","01/04/2026 15:32:07","Van Ness/Mission","3345188"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","01/04/2026 15:20:50","Haight/Noriega","3344587"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","01/04/2026 12:20:06","Corbett","3335515"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","01/04/2026 09:35:04","NONE","3328920"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","01/02/2026 22:45:34","Masonic","3264892"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","01/02/2026 18:22:10","Masonic","3252762"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","03/03/2026 21:06:46","Haight/Noriega","11506859"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","03/03/2026 17:44:26","Judah","11470359"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","03/03/2026 11:20:34","Haight/Noriega","11391455"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","03/02/2026 17:33:47","Haight/Noriega","11272652"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","03/02/2026 11:39:10","Divisadero","11208752"
"100005374481","N/A","N/A","$0.00","Muni","N/A","03/01/2026 17:58:25","Haight/Noriega","11121332"
"100005374481","03/01/2026 17:53:26","Civic Center","$5.30","BART","Cash Value ","03/01/2026 17:22:58","Downtown Berkeley","11120753"
"100005374481","03/01/2026 14:24:25","Downtown Berkeley","$2.45","BART","Cash Value ","03/01/2026 13:46:40","Montgomery","11094828"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","03/01/2026 13:25:41","Geary Rapid","11087344"
"100005374481","N/A","N/A","$0.00","Muni","N/A","03/01/2026 10:27:04","Geary Rapid","11067079"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","03/01/2026 10:17:13","Divisadero","11066100"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","02/28/2026 23:45:23","Haight/Noriega","11052566"
"100005374481","02/28/2026 22:00:43","16th Street / Mission","$5.35","BART","Cash Value ","02/28/2026 21:16:17","Fruitvale","11047706"
"100005374481","02/28/2026 18:28:55","Fruitvale","$2.25","BART","BART Value ","02/28/2026 18:01:24","Civic Center","11028568"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","02/28/2026 17:41:05","Haight/Parnassus","11021493"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","02/26/2026 21:10:41","Divisadero","10761182"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","02/26/2026 18:18:04","San Bruno Rapid","10735674"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","02/26/2026 08:53:19","Haight/Noriega","10623659"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","02/25/2026 16:26:30","Fulton","10512754"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","02/25/2026 13:08:59","Fulton","10478015"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","02/23/2026 17:23:21","Haight/Noriega","10149830"
"100005374481","N/A","N/A","$2.85","Muni","Cash Value ","02/23/2026 09:27:07","Haight/Parnassus","10069362"
